index,label
0,tile-glue_strip
1,cable-missing_cable
2,transistor-misplaced
3,cable-missing_cable
4,tile-good
5,pill-good
6,pill-good
7,cable-missing_cable
8,leather-good
9,leather-glue
10,leather-glue
11,wood-good
12,zipper-rough
13,screw-good
14,cable-missing_cable
15,bottle-contamination
16,cable-missing_cable
17,carpet-hole
18,carpet-good
19,pill-color
20,tile-rough
21,leather-glue
22,bottle-broken_large
23,screw-good
24,cable-missing_cable
25,screw-good
26,pill-faulty_imprint
27,cable-missing_cable
28,leather-good
29,wood-liquid
30,screw-good
31,cable-missing_cable
32,screw-good
33,zipper-fabric_interior
34,zipper-good
35,leather-glue
36,leather-good
37,cable-good
38,leather-good
39,metal_nut-flip
40,metal_nut-good
41,metal_nut-scratch
42,screw-good
43,capsule-good
44,metal_nut-flip
45,cable-missing_cable
46,toothbrush-good
47,cable-missing_cable
48,zipper-good
49,cable-good
50,cable-good
51,transistor-good
52,hazelnut-crack
53,cable-missing_cable
54,zipper-good
55,metal_nut-scratch
56,carpet-cut
57,toothbrush-defective
58,capsule-good
59,capsule-good
60,transistor-good
61,pill-faulty_imprint
62,capsule-good
63,zipper-squeezed_teeth
64,pill-good
65,leather-color
66,transistor-good
67,capsule-crack
68,pill-pill_type
69,metal_nut-good
70,grid-bent
71,transistor-good
72,hazelnut-good
73,tile-glue_strip
74,leather-poke
75,pill-good
76,cable-good
77,leather-good
78,cable-missing_cable
79,cable-good
80,pill-good
81,wood-good
82,cable-missing_cable
83,wood-hole
84,transistor-good
85,bottle-broken_small
86,leather-glue
87,carpet-good
88,capsule-good
89,zipper-good
90,toothbrush-defective
91,zipper-good
92,cable-missing_cable
93,metal_nut-good
94,screw-good
95,tile-oil
96,transistor-good
97,transistor-good
98,metal_nut-good
99,metal_nut-good
100,cable-good
101,carpet-good
102,pill-good
103,capsule-good
104,wood-good
105,bottle-broken_small
106,leather-glue
107,pill-good
108,transistor-good
109,hazelnut-hole
110,leather-color
111,screw-good
112,transistor-damaged_case
113,transistor-good
114,pill-good
115,capsule-good
116,grid-good
117,pill-good
118,capsule-good
119,capsule-good
120,screw-good
121,carpet-color
122,metal_nut-good
123,transistor-good
124,transistor-good
125,transistor-good
126,cable-missing_cable
127,transistor-good
128,pill-scratch
129,screw-good
130,grid-good
131,metal_nut-scratch
132,cable-missing_cable
133,metal_nut-bent
134,capsule-good
135,cable-missing_cable
136,screw-scratch_head
137,leather-glue
138,pill-good
139,wood-liquid
140,transistor-damaged_case
141,hazelnut-good
142,cable-cut_inner_insulation
143,cable-good
144,zipper-good
145,hazelnut-print
146,carpet-cut
147,zipper-good
148,zipper-split_teeth
149,wood-good
150,zipper-good
151,wood-good
152,transistor-good
153,pill-good
154,cable-missing_cable
155,cable-missing_cable
156,cable-missing_cable
157,tile-good
158,cable-missing_cable
159,metal_nut-good
160,screw-scratch_head
161,screw-good
162,screw-good
163,cable-missing_cable
164,carpet-good
165,leather-glue
166,pill-good
167,wood-color
168,zipper-fabric_interior
169,cable-missing_cable
170,carpet-good
171,carpet-good
172,screw-good
173,transistor-bent_lead
174,cable-good
175,pill-good
176,screw-good
177,zipper-split_teeth
178,capsule-good
179,zipper-good
180,leather-good
181,cable-missing_cable
182,bottle-good
183,cable-missing_wire
184,pill-faulty_imprint
185,carpet-cut
186,tile-glue_strip
187,metal_nut-good
188,wood-scratch
189,transistor-good
190,pill-faulty_imprint
191,capsule-squeeze
192,zipper-good
193,hazelnut-good
194,pill-good
195,screw-scratch_head
196,zipper-fabric_interior
197,leather-glue
198,zipper-good
199,hazelnut-good
200,transistor-good
201,cable-good
202,cable-missing_cable
203,bottle-broken_large
204,pill-good
205,leather-good
206,pill-color
207,pill-good
208,hazelnut-good
209,grid-broken
210,leather-glue
211,capsule-squeeze
212,screw-good
213,wood-good
214,pill-color
215,transistor-good
216,pill-good
217,pill-faulty_imprint
218,transistor-good
219,bottle-broken_small
220,tile-oil
221,grid-good
222,cable-missing_cable
223,bottle-broken_small
224,pill-good
225,metal_nut-good
226,pill-good
227,leather-color
228,cable-good
229,transistor-good
230,pill-good
231,screw-good
232,zipper-combined
233,pill-good
234,zipper-broken_teeth
235,pill-good
236,transistor-good
237,metal_nut-good
238,hazelnut-crack
239,transistor-misplaced
240,metal_nut-good
241,hazelnut-hole
242,zipper-rough
243,screw-good
244,wood-combined
245,leather-good
246,tile-good
247,tile-gray_stroke
248,wood-scratch
249,cable-good
250,transistor-misplaced
251,tile-gray_stroke
252,cable-bent_wire
253,capsule-good
254,metal_nut-flip
255,metal_nut-good
256,metal_nut-good
257,cable-missing_cable
258,cable-missing_cable
259,hazelnut-good
260,hazelnut-crack
261,pill-good
262,hazelnut-good
263,hazelnut-cut
264,leather-poke
265,leather-good
266,wood-good
267,screw-good
268,metal_nut-flip
269,cable-good
270,carpet-good
271,screw-good
272,wood-hole
273,transistor-good
274,cable-good
275,capsule-good
276,cable-missing_cable
277,capsule-good
278,toothbrush-defective
279,zipper-good
280,pill-color
281,leather-color
282,transistor-good
283,pill-pill_type
284,pill-good
285,screw-good
286,grid-thread
287,tile-good
288,cable-missing_cable
289,leather-glue
290,carpet-cut
291,bottle-broken_small
292,leather-fold
293,leather-cut
294,cable-good
295,zipper-squeezed_teeth
296,tile-good
297,transistor-good
298,transistor-good
299,transistor-good
300,cable-missing_cable
301,leather-cut
302,leather-glue
303,transistor-good
304,screw-scratch_head
305,pill-faulty_imprint
306,toothbrush-good
307,grid-good
308,leather-color
309,cable-missing_cable
310,cable-missing_cable
311,transistor-good
312,bottle-good
313,metal_nut-scratch
314,wood-good
315,transistor-damaged_case
316,cable-missing_cable
317,wood-good
318,wood-good
319,tile-good
320,cable-good
321,screw-scratch_neck
322,metal_nut-good
323,cable-good
324,leather-good
325,capsule-good
326,screw-good
327,cable-missing_cable
328,pill-good
329,transistor-good
330,cable-good
331,pill-good
332,cable-missing_cable
333,carpet-good
334,carpet-color
335,bottle-good
336,tile-good
337,metal_nut-color
338,screw-scratch_head
339,cable-combined
340,wood-good
341,screw-good
342,metal_nut-good
343,tile-good
344,cable-missing_cable
345,leather-cut
346,metal_nut-flip
347,metal_nut-good
348,hazelnut-good
349,pill-pill_type
350,carpet-thread
351,cable-good
352,cable-good
353,capsule-good
354,carpet-good
355,capsule-poke
356,cable-good
357,pill-good
358,bottle-good
359,cable-missing_cable
360,transistor-bent_lead
361,capsule-crack
362,leather-cut
363,carpet-color
364,transistor-good
365,leather-glue
366,transistor-bent_lead
367,cable-good
368,cable-missing_cable
369,leather-cut
370,hazelnut-good
371,screw-good
372,cable-good
373,bottle-good
374,hazelnut-good
375,toothbrush-defective
376,wood-hole
377,cable-missing_cable
378,capsule-poke
379,grid-good
380,metal_nut-good
381,screw-good
382,wood-color
383,tile-glue_strip
384,capsule-good
385,grid-good
386,cable-missing_cable
387,capsule-good
388,hazelnut-cut
389,screw-good
390,leather-good
391,metal_nut-color
392,bottle-broken_small
393,leather-cut
394,capsule-good
395,transistor-good
396,cable-good
397,bottle-contamination
398,hazelnut-print
399,tile-good
